symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
A8,-1.74,53.85,0.696,-5.08,13,13289.64,5.21,"{""횡보정리"": 2, ""전략매도"": 3, ""동적익절"": 2, ""손절"": 5, ""백테스트종료"": 1}"
ACX,2.0,57.89,1.289,-5.81,19,19633.48,6.31,"{""동적익절"": 5, ""횡보정리"": 3, ""손절"": 6, ""전략매도"": 4, ""트레일링스탑"": 1}"
ADA,-3.55,34.62,0.382,-5.27,26,25327.67,7.83,"{""손절"": 3, ""전략매도"": 20, ""횡보정리"": 2, ""백테스트종료"": 1}"
ATH,-1.01,57.14,0.477,-2.82,7,7474.6,7.82,"{""전략매도"": 4, ""트레일링스탑"": 1, ""횡보정리"": 1, ""손절"": 1}"
AXS,2.07,66.67,11.836,-0.97,6,5885.33,5.68,"{""전략매도"": 5, ""동적익절"": 1}"
BERA,0.21,83.33,1.182,-1.32,6,6671.81,7.15,"{""전략매도"": 5, ""손절"": 1}"
BLAST,-0.45,25.0,0.795,-2.27,8,8738.84,7.57,"{""횡보정리"": 2, ""전략매도"": 2, ""트레일링스탑"": 1, ""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
BSV,-0.69,33.33,0.48,-2.33,3,3315.95,8.31,"{""전략매도"": 1, ""손절"": 1, ""백테스트종료"": 1}"
BTC,-0.73,46.15,0.635,-2.28,26,23315.08,7.94,"{""전략매도"": 26}"
BTR,-1.73,54.17,0.773,-4.64,24,23706.69,9.55,"{""전략매도"": 12, ""손절"": 7, ""횡보정리"": 2, ""동적익절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
C,-2.4,41.18,0.74,-8.78,17,18273.26,2.38,"{""트레일링스탑"": 3, ""횡보정리"": 1, ""손절"": 9, ""동적익절"": 4}"
CAMP,5.61,85.71,17.406,-1.11,7,7223.96,7.15,"{""전략매도"": 4, ""동적익절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
CFG,4.09,28.57,2.201,-2.22,7,6769.24,3.05,"{""전략매도"": 1, ""동적익절"": 2, ""손절"": 3, ""백테스트종료"": 1}"
COS,-0.11,44.44,0.987,-3.58,18,18747.36,2.6,"{""전략매도"": 4, ""동적익절"": 3, ""손절"": 8, ""트레일링스탑"": 3}"
CUDIS,3.72,63.64,2.453,-1.51,11,10509.81,3.06,"{""트레일링스탑"": 3, ""동적익절"": 3, ""손절"": 3, ""전략매도"": 1, ""백테스트종료"": 1}"
DAO,0.55,50.0,4.239,-0.63,2,2097.22,5.04,"{""전략매도"": 1, ""백테스트종료"": 1}"
DEEP,4.25,63.64,1.891,-1.95,22,23439.96,9.5,"{""트레일링스탑"": 3, ""동적익절"": 5, ""전략매도"": 8, ""횡보정리"": 3, ""손절"": 2, ""백테스트종료"": 1}"
DKA,0.94,42.86,1.371,-1.84,7,7523.63,4.17,"{""전략매도"": 1, ""트레일링스탑"": 1, ""동적익절"": 2, ""손절"": 2, ""백테스트종료"": 1}"
DOGE,0.14,47.06,1.044,-2.67,17,17086.81,12.95,"{""횡보정리"": 6, ""전략매도"": 7, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
DOOD,1.47,62.5,2.13,-1.54,8,7953.6,7.45,"{""횡보정리"": 2, ""동적익절"": 2, ""트레일링스탑"": 2, ""전략매도"": 1, ""손절"": 1}"
DOT,0.9,66.67,80.157,-1.09,3,3355.87,9.81,"{""전략매도"": 3}"
