symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,0.37,100.0,,-0.36,1,1175.9,14.42,"{""동적익절"": 1}"
A8,-4.45,25.0,0.207,-4.97,8,9221.89,3.18,"{""손절"": 5, ""트레일링스탑"": 2, ""동적익절"": 1}"
ACE,-1.84,0.0,0.0,-2.01,3,3453.91,4.36,"{""손절"": 3}"
ACS,-0.39,0.0,0.0,-0.45,1,1156.78,3.58,"{""백테스트종료"": 1}"
ACX,-0.79,66.67,0.398,-1.87,3,3480.09,10.06,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
ADA,1.08,100.0,,-0.56,3,3527.0,11.42,"{""동적익절"": 2, ""트레일링스탑"": 1}"
ADP,0.76,50.0,1.331,-2.5,4,4685.72,2.31,"{""동적익절"": 2, ""손절"": 2}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,0.0,0.0,,0.0,0,0.0,0.0,{}
AHT,1.68,50.0,6.386,-0.57,2,2375.51,13.0,"{""횡보정리"": 1, ""동적익절"": 1}"
AIOZ,0.37,50.0,1.948,-0.75,2,2342.55,13.25,"{""횡보정리"": 1, ""동적익절"": 1}"
AKT,0.52,60.0,1.341,-1.45,5,5846.24,2.35,"{""트레일링스탑"": 1, ""동적익절"": 2, ""손절"": 2}"
AL,-1.43,0.0,0.0,-2.15,3,3464.05,7.22,"{""손절"": 2, ""트레일링스탑"": 1}"
ALICE,0.0,0.0,,0.0,0,0.0,0.0,{}
ALT,0.7,66.67,1.56,-1.23,6,7017.65,24.88,"{""동적익절"": 3, ""손절"": 2, ""강제청산"": 1}"
AMO,-0.55,33.33,0.609,-1.5,3,3486.28,5.44,"{""동적익절"": 1, ""손절"": 2}"
AMP,5.41,66.67,14.163,-0.58,3,3635.48,8.72,"{""횡보정리"": 1, ""동적익절"": 2}"
ANIME,-0.66,42.86,0.742,-2.08,7,8150.02,7.52,"{""손절"": 3, ""동적익절"": 3, ""백테스트종료"": 1}"
ANKR,-2.14,50.0,0.466,-4.6,8,9279.7,3.4,"{""동적익절"": 2, ""트레일링스탑"": 2, ""손절"": 4}"
APE,1.05,55.56,1.348,-2.57,9,10526.25,3.8,"{""손절"": 4, ""동적익절"": 4, ""트레일링스탑"": 1}"
API3,0.56,40.0,1.107,-3.09,10,11680.6,1.96,"{""트레일링스탑"": 2, ""손절"": 6, ""동적익절"": 2}"
ARKM,2.57,100.0,,-0.99,4,4730.97,2.56,"{""동적익절"": 3, ""트레일링스탑"": 1}"
ASTER,-0.15,0.0,0.0,-0.85,1,1162.89,16.92,"{""백테스트종료"": 1}"
ATH,-0.26,50.0,0.928,-2.51,12,13993.42,5.09,"{""동적익절"": 5, ""손절"": 6, ""트레일링스탑"": 1}"
AUDIO,1.41,66.67,1.777,-2.88,6,7035.28,0.65,"{""동적익절"": 3, ""손절"": 1, ""트레일링스탑"": 2}"
AVAIL,-0.91,50.0,0.728,-2.94,8,9310.47,1.23,"{""손절"": 4, ""트레일링스탑"": 2, ""동적익절"": 2}"
AVL,1.99,71.43,2.189,-2.61,7,8216.65,3.56,"{""동적익절"": 4, ""손절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
AVNT,-1.77,25.0,0.134,-2.53,4,4622.22,3.54,"{""트레일링스탑"": 1, ""손절"": 3}"
AXS,2.61,66.67,2.833,-1.06,9,10565.29,5.94,"{""횡보정리"": 1, ""동적익절"": 5, ""손절"": 2, ""트레일링스탑"": 1}"
AZIT,1.51,42.86,1.356,-2.41,7,8204.41,3.98,"{""동적익절"": 3, ""손절"": 4}"
AZTEC,-1.12,33.33,0.028,-1.29,3,3472.04,1.14,"{""손절"": 2, ""트레일링스탑"": 1}"
B3,4.27,61.54,1.731,-3.49,13,15273.8,1.31,"{""손절"": 4, ""트레일링스탑"": 3, ""동적익절"": 5, ""백테스트종료"": 1}"
BABY,2.28,100.0,,-0.47,4,4723.83,1.27,"{""동적익절"": 2, ""트레일링스탑"": 2}"
BARD,-0.21,50.0,0.644,-0.9,2,2328.04,3.04,"{""손절"": 1, ""트레일링스탑"": 1}"
BASED,-1.48,33.33,0.475,-2.42,6,6962.89,1.92,"{""손절"": 4, ""동적익절"": 1, ""트레일링스탑"": 1}"
BB,0.86,55.56,1.299,-1.9,9,10521.59,3.44,"{""손절"": 4, ""동적익절"": 4, ""트레일링스탑"": 1}"
BEL,1.59,66.67,2.218,-1.39,6,7039.88,2.58,"{""트레일링스탑"": 1, ""동적익절"": 3, ""손절"": 2}"
BERA,0.39,50.0,3.575,-0.94,2,2343.07,16.5,"{""횡보정리"": 1, ""동적익절"": 1}"
BIO,-5.39,30.77,0.258,-7.5,13,15031.5,1.88,"{""동적익절"": 1, ""트레일링스탑"": 3, ""손절"": 9}"
BIOT,-1.41,0.0,0.0,-1.53,2,2298.01,3.33,"{""손절"": 2}"
BLAST,-1.78,25.0,0.301,-2.51,4,4621.96,9.33,"{""횡보정리"": 1, ""동적익절"": 1, ""손절"": 2}"
BLEND,-1.74,0.0,0.0,-2.08,3,3456.47,4.17,"{""손절"": 2, ""백테스트종료"": 1}"
BLUE,-0.44,33.33,0.549,-1.27,3,3488.86,5.56,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
BLUR,-4.13,25.0,0.16,-5.05,8,9229.87,2.57,"{""손절"": 6, ""동적익절"": 1, ""트레일링스탑"": 1}"
BLY,4.62,66.67,3.848,-1.58,3,3615.7,0.22,"{""동적익절"": 2, ""손절"": 1}"
BNT,0.25,50.0,2.626,-0.49,2,2339.48,13.67,"{""동적익절"": 1, ""백테스트종료"": 1}"
BOB,-1.26,33.33,0.105,-1.44,3,3468.34,3.06,"{""손절"": 2, ""트레일링스탑"": 1}"
BOBA,1.01,50.0,1.618,-1.53,8,9358.61,8.91,"{""횡보정리"": 2, ""손절"": 2, ""동적익절"": 3, ""트레일링스탑"": 1}"
BRETT,3.53,100.0,,-0.65,6,7088.49,4.49,"{""동적익절"": 5, ""트레일링스탑"": 1}"
BREV,0.11,50.0,1.164,-1.17,2,2336.16,1.54,"{""동적익절"": 1, ""손절"": 1}"
BSV,0.37,50.0,1.488,-0.85,2,2342.56,1.5,"{""동적익절"": 1, ""손절"": 1}"
BTC,-1.89,33.33,0.252,-2.59,9,10452.57,20.4,"{""동적익절"": 3, ""손절"": 3, ""횡보정리"": 3}"
BTR,-1.41,33.33,0.478,-2.4,6,6964.74,27.85,"{""트레일링스탑"": 1, ""손절"": 3, ""동적익절"": 1, ""강제청산"": 1}"
C,3.01,100.0,,-0.19,2,2408.85,0.29,"{""동적익절"": 2}"
CAMP,0.03,66.67,1.047,-1.25,3,3500.81,8.42,"{""손절"": 1, ""동적익절"": 1, ""트레일링스탑"": 1}"
CFG,-0.09,50.0,0.953,-2.25,6,6997.78,2.9,"{""트레일링스탑"": 1, ""손절"": 3, ""동적익절"": 2}"
CHIP,-2.45,45.45,0.485,-4.26,11,12771.87,4.13,"{""손절"": 6, ""동적익절"": 3, ""트레일링스탑"": 2}"
CHR,-0.93,33.33,0.639,-2.59,6,6976.72,3.46,"{""손절"": 4, ""동적익절"": 2}"
CKB,-0.28,0.0,0.0,-0.45,1,1159.69,24.33,"{""횡보정리"": 1}"
COMP,0.83,75.0,2.459,-0.89,4,4687.55,3.73,"{""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1}"
CORE,0.15,75.0,1.265,-1.14,4,4670.48,1.5,"{""트레일링스탑"": 3, ""손절"": 1}"
COS,-1.38,50.0,0.563,-2.75,6,6965.45,4.08,"{""동적익절"": 2, ""손절"": 3, ""트레일링스탑"": 1}"
CPOOL,0.76,50.0,1.282,-2.35,6,7019.06,7.08,"{""동적익절"": 2, ""트레일링스탑"": 1, ""횡보정리"": 1, ""손절"": 2}"
CRTS,5.56,88.89,9.641,-0.81,9,10639.23,1.91,"{""동적익절"": 7, ""손절"": 1, ""트레일링스탑"": 1}"
CSPR,0.57,57.14,1.238,-1.99,7,8180.89,3.79,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 3}"
CTSI,1.38,57.14,1.457,-2.19,7,8201.34,1.0,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
CUDIS,1.27,75.0,1.822,-1.56,4,4698.41,2.06,"{""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1}"
CVC,1.68,75.0,3.539,-1.11,4,4708.86,13.33,"{""동적익절"": 3, ""손절"": 1}"
CYS,-2.91,42.86,0.528,-3.87,14,16260.51,1.99,"{""손절"": 8, ""동적익절"": 3, ""트레일링스탑"": 3}"
D,2.04,62.5,1.77,-1.79,8,9384.39,3.08,"{""손절"": 3, ""동적익절"": 4, ""트레일링스탑"": 1}"
DAO,-0.48,40.0,0.824,-2.0,5,5821.33,5.43,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 1}"
DBR,-2.45,0.0,0.0,-2.78,2,2271.98,10.58,"{""손절"": 2}"
DEEP,2.14,57.14,2.057,-1.16,7,8220.29,2.56,"{""손절"": 3, ""동적익절"": 3, ""트레일링스탑"": 1}"
DEXE,1.29,66.67,2.07,-1.76,6,7032.44,2.19,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 2}"
DKA,-0.21,50.0,0.476,-1.25,2,2328.05,0.62,"{""트레일링스탑"": 2}"
DOGE,-0.45,50.0,0.679,-1.15,4,4655.49,9.98,"{""손절"": 2, ""동적익절"": 2}"
DOOD,-1.37,0.0,0.0,-1.51,2,2298.98,4.62,"{""손절"": 2}"
DOT,0.72,100.0,,-0.2,1,1184.79,2.58,"{""동적익절"": 1}"
DRIFT,1.33,100.0,,-0.85,1,1200.1,1.5,"{""동적익절"": 1}"
DYDX,-0.89,60.0,0.758,-3.51,5,5811.06,2.33,"{""동적익절"": 3, ""손절"": 2}"
EDEN,-1.55,50.0,0.416,-2.42,4,4627.92,0.77,"{""트레일링스탑"": 1, ""손절"": 2, ""동적익절"": 1}"
