symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,0.37,100.0,,-0.36,1,1175.9,14.42,"{""동적익절"": 1}"
A8,-0.9,33.33,0.598,-2.69,6,6977.49,3.29,"{""동적익절"": 1, ""손절"": 2, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
ACE,-1.05,50.0,0.314,-2.23,4,4640.45,4.17,"{""트레일링스탑"": 2, ""손절"": 2}"
ACS,-0.39,0.0,0.0,-0.45,1,1156.78,3.58,"{""백테스트종료"": 1}"
ACX,-0.79,66.67,0.398,-1.87,3,3480.09,10.06,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
ADA,0.72,100.0,,-0.35,2,2351.33,7.88,"{""동적익절"": 1, ""트레일링스탑"": 1}"
ADP,0.76,50.0,1.331,-2.5,4,4685.72,2.31,"{""동적익절"": 2, ""손절"": 2}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-2.69,0.0,0.0,-2.92,4,4599.3,1.85,"{""손절"": 4}"
AHT,1.68,50.0,6.386,-0.57,2,2375.51,13.0,"{""횡보정리"": 1, ""동적익절"": 1}"
AIOZ,0.37,50.0,1.948,-0.75,2,2342.55,13.25,"{""횡보정리"": 1, ""동적익절"": 1}"
AKT,0.52,60.0,1.341,-1.45,5,5846.24,2.35,"{""트레일링스탑"": 1, ""동적익절"": 2, ""손절"": 2}"
AL,3.65,62.5,2.557,-2.33,8,9424.93,11.36,"{""동적익절"": 3, ""강제청산"": 1, ""손절"": 3, ""트레일링스탑"": 1}"
ALICE,1.15,57.14,1.56,-2.26,7,8195.39,0.83,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
ALT,0.7,66.67,1.56,-1.23,6,7017.65,24.88,"{""동적익절"": 3, ""손절"": 2, ""강제청산"": 1}"
AMO,-0.55,33.33,0.609,-1.5,3,3486.28,5.44,"{""동적익절"": 1, ""손절"": 2}"
AMP,5.41,66.67,14.163,-0.58,3,3635.48,8.72,"{""횡보정리"": 1, ""동적익절"": 2}"
ANIME,-0.66,42.86,0.742,-2.08,7,8150.02,7.52,"{""손절"": 3, ""동적익절"": 3, ""백테스트종료"": 1}"
ANKR,-2.14,50.0,0.466,-4.6,8,9279.7,3.4,"{""동적익절"": 2, ""트레일링스탑"": 2, ""손절"": 4}"
APE,1.05,55.56,1.348,-2.57,9,10526.25,3.8,"{""손절"": 4, ""동적익절"": 4, ""트레일링스탑"": 1}"
API3,0.56,40.0,1.107,-3.09,10,11680.6,1.96,"{""트레일링스탑"": 2, ""손절"": 6, ""동적익절"": 2}"
ARKM,2.57,100.0,,-0.99,4,4730.97,2.56,"{""동적익절"": 3, ""트레일링스탑"": 1}"
ASTER,-0.15,0.0,0.0,-0.85,1,1162.89,16.92,"{""백테스트종료"": 1}"
ATH,-0.26,50.0,0.928,-2.51,12,13993.42,5.09,"{""동적익절"": 5, ""손절"": 6, ""트레일링스탑"": 1}"
AUDIO,1.41,66.67,1.777,-2.88,6,7035.28,0.65,"{""동적익절"": 3, ""손절"": 1, ""트레일링스탑"": 2}"
AVAIL,-0.91,50.0,0.728,-2.94,8,9310.47,1.23,"{""손절"": 4, ""트레일링스탑"": 2, ""동적익절"": 2}"
AVL,0.28,50.0,1.059,-3.23,10,11673.7,9.95,"{""동적익절"": 5, ""손절"": 3, ""강제청산"": 1, ""백테스트종료"": 1}"
