symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-1.21,25.0,0.427,-2.12,4,4636.29,1.52,"{""손절"": 3, ""동적익절"": 1}"
A8,2.07,64.71,1.385,-2.44,17,19885.12,3.32,"{""동적익절"": 8, ""손절"": 6, ""트레일링스탑"": 3}"
ACE,-1.05,50.0,0.314,-2.23,4,4640.45,4.17,"{""트레일링스탑"": 2, ""손절"": 2}"
ACS,-0.39,0.0,0.0,-0.45,1,1156.78,3.58,"{""백테스트종료"": 1}"
ACX,-0.79,66.67,0.398,-1.87,3,3480.09,10.06,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
ADA,-2.32,36.36,0.431,-4.02,11,12775.28,11.95,"{""손절"": 6, ""동적익절"": 4, ""횡보정리"": 1}"
ADP,0.76,50.0,1.331,-2.5,4,4685.72,2.31,"{""동적익절"": 2, ""손절"": 2}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-2.69,0.0,0.0,-2.92,4,4599.3,1.85,"{""손절"": 4}"
AHT,1.68,50.0,6.386,-0.57,2,2375.51,13.0,"{""횡보정리"": 1, ""동적익절"": 1}"
AKT,0.74,60.0,1.296,-2.18,10,11685.26,2.44,"{""트레일링스탑"": 4, ""손절"": 4, ""동적익절"": 2}"
AL,3.65,62.5,2.557,-2.33,8,9424.93,11.36,"{""동적익절"": 3, ""강제청산"": 1, ""손절"": 3, ""트레일링스탑"": 1}"
ALICE,1.45,60.0,2.04,-1.47,5,5869.73,0.7,"{""동적익절"": 3, ""손절"": 2}"
ALT,0.7,66.67,1.56,-1.23,6,7017.65,24.88,"{""동적익절"": 3, ""손절"": 2, ""강제청산"": 1}"
AMO,2.29,66.67,4.953,-0.81,3,3557.39,8.22,"{""동적익절"": 2, ""손절"": 1}"
AMP,-2.47,0.0,0.0,-2.59,2,2271.31,2.04,"{""손절"": 2}"
ANIME,-0.66,42.86,0.742,-2.08,7,8150.02,7.52,"{""손절"": 3, ""동적익절"": 3, ""백테스트종료"": 1}"
ANKR,-2.74,44.44,0.406,-4.63,9,10431.36,3.51,"{""동적익절"": 2, ""손절"": 5, ""트레일링스탑"": 2}"
API3,-0.88,40.0,0.61,-1.27,5,5811.21,3.12,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 1}"
ARKM,2.57,100.0,,-0.99,4,4730.97,2.56,"{""동적익절"": 3, ""트레일링스탑"": 1}"
ATH,-0.35,50.0,0.904,-2.51,12,13991.24,5.35,"{""동적익절"": 5, ""손절"": 6, ""트레일링스탑"": 1}"
AUDIO,1.41,66.67,1.777,-2.88,6,7035.28,0.65,"{""동적익절"": 3, ""손절"": 1, ""트레일링스탑"": 2}"
AVAIL,-0.91,50.0,0.728,-2.94,8,9310.47,1.23,"{""손절"": 4, ""트레일링스탑"": 2, ""동적익절"": 2}"
AVL,-0.5,45.45,0.907,-3.25,11,12820.74,10.11,"{""손절"": 4, ""동적익절"": 5, ""강제청산"": 1, ""백테스트종료"": 1}"
AXS,1.47,50.0,2.384,-0.84,4,4703.5,4.0,"{""손절"": 1, ""동적익절"": 2, ""백테스트종료"": 1}"
AZIT,1.51,42.86,1.356,-2.41,7,8204.41,3.98,"{""동적익절"": 3, ""손절"": 4}"
B3,-0.06,33.33,0.938,-1.33,3,3498.44,0.78,"{""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
BARD,-0.21,50.0,0.644,-0.9,2,2328.04,3.04,"{""손절"": 1, ""트레일링스탑"": 1}"
BEL,-0.02,44.44,0.993,-1.71,9,10499.43,2.49,"{""손절"": 5, ""동적익절"": 4}"
BERA,-1.41,33.33,0.396,-2.71,6,6964.63,9.32,"{""손절"": 3, ""동적익절"": 2, ""횡보정리"": 1}"
BIO,-2.64,37.5,0.424,-3.49,8,9267.24,3.14,"{""동적익절"": 2, ""손절"": 4, ""트레일링스탑"": 2}"
BIOT,-3.66,20.0,0.179,-3.95,5,5741.56,2.12,"{""손절"": 4, ""동적익절"": 1}"
BLAST,-1.78,25.0,0.301,-2.51,4,4621.96,9.33,"{""횡보정리"": 1, ""동적익절"": 1, ""손절"": 2}"
BLUR,-1.91,30.77,0.751,-5.77,13,15118.79,1.92,"{""동적익절"": 3, ""손절"": 9, ""트레일링스탑"": 1}"
BLY,4.62,66.67,3.848,-1.58,3,3615.7,0.22,"{""동적익절"": 2, ""손절"": 1}"
BNT,0.25,50.0,2.626,-0.49,2,2339.48,13.67,"{""동적익절"": 1, ""백테스트종료"": 1}"
BOB,2.71,57.14,1.98,-1.63,14,16401.35,3.47,"{""동적익절"": 5, ""손절"": 4, ""횡보정리"": 1, ""트레일링스탑"": 4}"
BOBA,2.92,77.78,3.326,-1.05,9,10573.23,2.42,"{""손절"": 2, ""동적익절"": 5, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BREV,0.11,50.0,1.164,-1.17,2,2336.16,1.54,"{""동적익절"": 1, ""손절"": 1}"
BSV,0.37,50.0,1.488,-0.85,2,2342.56,1.5,"{""동적익절"": 1, ""손절"": 1}"
BTC,-1.25,25.0,0.322,-1.95,12,13968.66,23.49,"{""횡보정리"": 8, ""동적익절"": 3, ""백테스트종료"": 1}"
BTR,-7.45,40.91,0.399,-9.41,22,25479.84,3.31,"{""동적익절"": 6, ""손절"": 13, ""트레일링스탑"": 3}"
C,0.45,64.29,1.089,-3.0,14,16344.56,2.24,"{""트레일링스탑"": 2, ""동적익절"": 7, ""손절"": 5}"
CAMP,2.72,66.67,1.848,-2.85,9,10568.1,1.69,"{""손절"": 3, ""동적익절"": 6}"
CFG,1.92,56.25,1.418,-3.92,16,18714.77,2.81,"{""동적익절"": 5, ""손절"": 6, ""트레일링스탑"": 5}"
CHR,-2.6,25.0,0.387,-4.32,8,9268.16,3.82,"{""손절"": 6, ""동적익절"": 2}"
CKB,-0.28,0.0,0.0,-0.45,1,1159.69,24.33,"{""횡보정리"": 1}"
COMP,0.83,75.0,2.459,-0.89,4,4687.55,3.73,"{""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1}"
CORE,2.68,72.73,1.829,-3.05,11,12900.43,2.08,"{""트레일링스탑"": 2, ""동적익절"": 6, ""손절"": 3}"
COS,-6.02,23.08,0.277,-8.49,13,15015.77,2.7,"{""손절"": 9, ""트레일링스탑"": 2, ""동적익절"": 2}"
CPOOL,4.08,90.0,4.632,-1.59,10,11768.83,13.75,"{""동적익절"": 8, ""손절"": 1, ""트레일링스탑"": 1}"
CRTS,-1.44,0.0,0.0,-1.56,2,2297.23,2.83,"{""손절"": 2}"
CSPR,0.57,57.14,1.238,-1.99,7,8180.89,3.79,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 3}"
CTSI,6.08,66.67,2.35,-2.1,12,14152.43,0.9,"{""동적익절"": 7, ""손절"": 4, ""트레일링스탑"": 1}"
CUDIS,2.68,66.67,1.692,-1.56,9,10567.26,1.38,"{""동적익절"": 5, ""손절"": 3, ""트레일링스탑"": 1}"
CVC,1.68,75.0,3.539,-1.11,4,4708.86,13.33,"{""동적익절"": 3, ""손절"": 1}"
CYS,-4.42,43.48,0.605,-6.2,23,26722.52,1.53,"{""손절"": 13, ""동적익절"": 6, ""트레일링스탑"": 4}"
D,2.27,52.63,1.267,-4.29,19,22223.5,1.4,"{""동적익절"": 9, ""손절"": 7, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
DAO,12.41,68.75,2.991,-4.47,16,18977.77,1.79,"{""동적익절"": 9, ""트레일링스탑"": 2, ""손절"": 5}"
DBR,-2.45,0.0,0.0,-2.78,2,2271.98,10.58,"{""손절"": 2}"
DEEP,0.95,58.33,1.366,-3.07,12,14023.71,3.8,"{""트레일링스탑"": 4, ""손절"": 4, ""동적익절"": 3, ""백테스트종료"": 1}"
DEXE,-0.19,50.0,0.847,-1.62,4,4662.02,2.29,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 2}"
DKA,0.15,50.0,1.128,-1.39,4,4670.48,2.04,"{""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 2}"
DOGE,-4.58,10.0,0.101,-5.22,10,11551.87,11.9,"{""손절"": 7, ""횡보정리"": 2, ""동적익절"": 1}"
DOOD,-0.54,40.0,0.756,-2.7,5,5819.81,4.35,"{""동적익절"": 2, ""손절"": 3}"
DOT,0.39,66.67,1.617,-1.29,3,3509.87,6.25,"{""트레일링스탑"": 1, ""손절"": 1, ""동적익절"": 1}"
DRIFT,-1.37,42.86,0.732,-4.03,7,8132.36,1.65,"{""동적익절"": 3, ""손절"": 4}"
EDEN,-1.55,50.0,0.416,-2.42,4,4627.92,0.77,"{""트레일링스탑"": 1, ""손절"": 2, ""동적익절"": 1}"
EDGE,-1.35,33.33,0.65,-3.0,6,6966.25,3.67,"{""동적익절"": 2, ""손절"": 4}"
EDU,-1.24,33.33,0.109,-2.04,3,3469.03,3.33,"{""손절"": 2, ""트레일링스탑"": 1}"
EGG,0.07,100.0,,-0.54,1,1168.33,0.83,"{""트레일링스탑"": 1}"
ENA,-2.09,33.33,0.455,-3.95,9,10447.56,2.58,"{""손절"": 6, ""동적익절"": 2, ""트레일링스탑"": 1}"
ENJ,27.86,92.86,22.714,-1.28,14,17031.46,0.95,"{""동적익절"": 7, ""트레일링스탑"": 6, ""손절"": 1}"
ENSO,-3.41,22.22,0.361,-4.03,9,10414.57,4.41,"{""손절"": 7, ""동적익절"": 2}"
EPT,2.51,66.67,2.679,-1.55,6,7062.94,3.28,"{""동적익절"": 4, ""손절"": 2}"
ESP,0.32,66.67,1.459,-1.36,3,3507.97,1.22,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
ETH,-1.18,45.0,0.768,-3.48,20,23303.76,15.48,"{""동적익절"": 8, ""횡보정리"": 3, ""손절"": 7, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ETHFI,-0.15,50.0,0.892,-1.3,4,4662.92,8.88,"{""동적익절"": 2, ""손절"": 2}"
EUL,1.99,66.67,2.497,-1.5,6,7049.99,1.38,"{""동적익절"": 2, ""트레일링스탑"": 2, ""손절"": 2}"
F,4.99,57.14,4.019,-1.67,7,8291.69,10.58,"{""동적익절"": 4, ""손절"": 2, ""횡보정리"": 1}"
FANC,-2.11,0.0,0.0,-2.37,2,2280.49,4.54,"{""손절"": 2}"
FF,-0.35,50.0,0.497,-1.18,2,2324.61,1.96,"{""트레일링스탑"": 1, ""손절"": 1}"
FITFI,-1.96,33.33,0.766,-6.16,15,17450.86,2.24,"{""손절"": 8, ""트레일링스탑"": 3, ""동적익절"": 4}"
FLOCK,1.1,100.0,,-0.37,2,2360.85,1.92,"{""동적익절"": 1, ""트레일링스탑"": 1}"
FORT,0.69,50.0,1.188,-2.89,6,7017.19,1.12,"{""동적익절"": 2, ""손절"": 3, ""트레일링스탑"": 1}"
G,-3.66,33.33,0.503,-5.37,12,13908.16,12.86,"{""동적익절"": 4, ""손절"": 6, ""트레일링스탑"": 1, ""강제청산"": 1}"
GAS,3.0,63.64,1.953,-2.39,11,12908.61,9.51,"{""동적익절"": 6, ""손절"": 4, ""트레일링스탑"": 1}"
GHX,1.17,66.67,1.623,-1.3,9,10529.31,5.97,"{""손절"": 3, ""동적익절"": 3, ""트레일링스탑"": 3}"
GLM,0.19,100.0,,-0.45,1,1171.54,3.42,"{""트레일링스탑"": 1}"
GOAT,1.06,53.85,1.203,-3.01,13,15193.29,1.13,"{""트레일링스탑"": 4, ""손절"": 4, ""동적익절"": 5}"
GRACY,1.4,50.0,3.054,-0.72,2,2368.31,0.71,"{""동적익절"": 1, ""손절"": 1}"
GRND,-4.51,0.0,0.0,-4.74,4,4553.73,1.33,"{""손절"": 4}"
GTC,1.73,75.0,2.764,-1.36,4,4710.11,0.69,"{""손절"": 1, ""동적익절"": 3}"
GWEI,4.22,61.11,1.753,-3.93,18,21105.88,2.66,"{""동적익절"": 10, ""손절"": 6, ""트레일링스탑"": 2}"
H,1.57,50.0,1.385,-3.31,12,14039.27,2.4,"{""동적익절"": 4, ""손절"": 6, ""트레일링스탑"": 2}"
HAEDAL,-0.18,50.0,0.903,-2.17,6,6995.5,5.76,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 2}"
HEMI,-1.46,42.86,0.799,-4.4,14,16296.63,4.07,"{""동적익절"": 5, ""손절"": 8, ""트레일링스탑"": 1}"
HIGH,2.35,57.14,1.969,-1.81,7,8225.53,0.33,"{""손절"": 2, ""동적익절"": 4, ""백테스트종료"": 1}"
HOLO,-0.57,0.0,0.0,-0.63,1,1152.36,4.67,"{""손절"": 1}"
HOOK,0.66,66.67,1.716,-1.72,6,7016.63,6.97,"{""동적익절"": 2, ""트레일링스탑"": 2, ""손절"": 1, ""횡보정리"": 1}"
HUMA,-3.76,38.1,0.541,-4.99,21,24405.64,2.43,"{""손절"": 12, ""동적익절"": 4, ""트레일링스탑"": 5}"
HYPER,0.66,66.67,2.088,-0.71,3,3516.56,2.06,"{""트레일링스탑"": 1, ""동적익절"": 1, ""손절"": 1}"
ICP,-1.23,0.0,0.0,-1.34,2,2302.57,2.96,"{""손절"": 2}"
ICX,0.24,100.0,,-0.45,1,1172.66,4.58,"{""트레일링스탑"": 1}"
ID,6.36,75.0,27.494,-0.41,4,4826.02,3.75,"{""동적익절"": 3, ""백테스트종료"": 1}"
ILV,-0.38,50.0,0.855,-1.51,8,9323.91,4.58,"{""손절"": 4, ""동적익절"": 3, ""트레일링스탑"": 1}"
IN,2.33,66.67,2.574,-2.16,6,7058.41,2.21,"{""손절"": 2, ""동적익절"": 3, ""트레일링스탑"": 1}"
IOTX,-1.24,0.0,0.0,-1.42,2,2302.24,3.29,"{""손절"": 2}"
IP,-3.99,30.77,0.259,-4.95,13,15066.61,14.47,"{""손절"": 8, ""동적익절"": 2, ""강제청산"": 1, ""횡보정리"": 1, ""트레일링스탑"": 1}"
IQ,-1.69,0.0,0.0,-2.31,2,2291.05,2.46,"{""손절"": 2}"
IRYS,2.31,69.23,1.696,-2.84,13,15224.47,5.99,"{""손절"": 4, ""동적익절"": 5, ""트레일링스탑"": 3, ""강제청산"": 1}"
JOE,-1.45,40.0,0.494,-2.07,5,5797.08,2.67,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 1}"
JTO,-0.69,33.33,0.461,-1.9,3,3482.62,6.78,"{""손절"": 2, ""동적익절"": 1}"
KAIA,-0.53,50.0,0.735,-1.54,6,6986.67,14.07,"{""트레일링스탑"": 1, ""손절"": 3, ""동적익절"": 2}"
KAT,-7.97,16.67,0.045,-8.37,6,6800.28,27.28,"{""손절"": 3, ""트레일링스탑"": 1, ""강제청산"": 1, ""백테스트종료"": 1}"
KERNEL,-0.53,50.0,0.858,-3.27,8,9320.06,1.31,"{""동적익절"": 4, ""손절"": 4}"
KITE,-2.65,28.57,0.282,-3.5,7,8100.29,1.55,"{""손절"": 5, ""트레일링스탑"": 1, ""동적익절"": 1}"
KNC,-1.04,33.33,0.219,-1.28,3,3473.96,1.81,"{""손절"": 2, ""트레일링스탑"": 1}"
