symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
A8,1.64,60.0,7.981,-0.87,5,4624.55,8.03,"{""횡보정리"": 3, ""동적익절"": 2}"
ACX,3.21,68.18,1.428,-5.21,22,22580.48,5.7,"{""손절"": 7, ""동적익절"": 10, ""횡보정리"": 2, ""전략매도"": 3}"
ADA,-4.09,33.33,0.413,-5.71,30,30314.08,7.71,"{""전략매도"": 24, ""횡보정리"": 2, ""손절"": 3, ""백테스트종료"": 1}"
AXS,0.85,50.0,2.087,-1.28,6,5854.66,5.1,"{""전략매도"": 3, ""동적익절"": 1, ""횡보정리"": 1, ""백테스트종료"": 1}"
BERA,0.21,83.33,1.182,-1.32,6,6671.81,7.15,"{""전략매도"": 5, ""손절"": 1}"
BSV,-0.87,33.33,0.424,-2.33,3,3311.53,7.58,"{""전략매도"": 1, ""손절"": 1, ""횡보정리"": 1}"
BTC,-0.33,45.16,0.88,-2.28,31,28741.65,7.98,"{""전략매도"": 25, ""횡보정리"": 4, ""동적익절"": 1, ""백테스트종료"": 1}"
BTR,-4.93,44.44,0.426,-7.08,27,25709.73,7.02,"{""전략매도"": 11, ""손절"": 7, ""횡보정리"": 6, ""동적익절"": 2, ""트레일링스탑"": 1}"
C,3.03,83.33,5.503,-1.19,6,5909.22,4.11,"{""동적익절"": 4, ""횡보정리"": 1, ""손절"": 1}"
COS,1.15,50.0,1.33,-2.34,10,9195.55,2.18,"{""전략매도"": 1, ""동적익절"": 4, ""손절"": 3, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
DAO,0.55,50.0,4.239,-0.63,2,2097.22,5.04,"{""전략매도"": 1, ""백테스트종료"": 1}"
DEEP,2.16,65.22,1.393,-1.91,23,23804.26,7.67,"{""손절"": 4, ""동적익절"": 7, ""전략매도"": 8, ""횡보정리"": 3, ""백테스트종료"": 1}"
DOGE,-2.28,42.86,0.567,-3.36,21,19942.96,10.46,"{""손절"": 4, ""동적익절"": 4, ""횡보정리"": 8, ""전략매도"": 4, ""백테스트종료"": 1}"
DOOD,1.45,62.5,2.005,-1.54,8,7952.9,5.95,"{""동적익절"": 4, ""횡보정리"": 1, ""트레일링스탑"": 1, ""전략매도"": 1, ""손절"": 1}"
ENA,-0.52,50.0,0.576,-1.39,4,4153.73,4.46,"{""전략매도"": 2, ""손절"": 1, ""백테스트종료"": 1}"
ENSO,-7.36,39.13,0.25,-8.59,23,24398.78,8.47,"{""손절"": 7, ""트레일링스탑"": 1, ""횡보정리"": 3, ""전략매도"": 10, ""동적익절"": 1, ""백테스트종료"": 1}"
EPT,0.81,75.0,3.086,-0.68,4,4186.91,6.15,"{""동적익절"": 1, ""전략매도"": 2, ""백테스트종료"": 1}"
ETH,-1.49,37.93,0.7,-3.76,29,29129.41,8.96,"{""횡보정리"": 5, ""동적익절"": 3, ""손절"": 1, ""전략매도"": 20}"
F,-3.7,31.58,0.265,-5.45,19,18657.24,9.73,"{""전략매도"": 7, ""손절"": 3, ""횡보정리"": 8, ""백테스트종료"": 1}"
GTC,-2.29,0.0,0.0,-3.15,3,3692.53,1.69,"{""손절"": 2, ""백테스트종료"": 1}"
GWEI,-5.52,11.11,0.112,-7.07,9,9861.72,7.26,"{""전략매도"": 2, ""손절"": 6, ""횡보정리"": 1}"
H,-5.21,42.42,0.592,-9.44,33,34452.76,5.46,"{""손절"": 12, ""동적익절"": 6, ""전략매도"": 13, ""횡보정리"": 2}"
HAEDAL,-0.65,64.29,0.792,-2.49,14,12900.41,7.77,"{""전략매도"": 6, ""횡보정리"": 5, ""손절"": 2, ""동적익절"": 1}"
HOOK,0.3,57.14,1.171,-2.51,7,7507.56,5.9,"{""동적익절"": 2, ""전략매도"": 1, ""트레일링스탑"": 2, ""손절"": 1, ""백테스트종료"": 1}"
HUMA,-6.78,42.5,0.657,-10.83,40,42746.78,4.0,"{""손절"": 17, ""동적익절"": 10, ""전략매도"": 7, ""횡보정리"": 4, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ICP,-0.53,33.33,0.221,-1.22,3,3320.06,4.83,"{""전략매도"": 3}"
ICX,-2.29,0.0,0.0,-2.79,3,3276.04,2.81,"{""손절"": 2, ""백테스트종료"": 1}"
IP,-1.07,40.0,0.073,-1.48,5,4556.57,9.43,"{""횡보정리"": 2, ""전략매도"": 2, ""손절"": 1}"
KAIA,-0.8,0.0,0.0,-1.02,2,2479.96,4.25,"{""전략매도"": 1, ""백테스트종료"": 1}"
KITE,-4.0,0.0,0.0,-4.26,4,4899.83,7.77,"{""손절"": 3, ""백테스트종료"": 1}"
LA,0.08,50.0,1.051,-1.95,6,6251.9,5.19,"{""횡보정리"": 1, ""전략매도"": 1, ""트레일링스탑"": 1, ""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
MBX,0.1,66.67,1.136,-0.83,3,2919.09,5.17,"{""전략매도"": 2, ""동적익절"": 1}"
MOODENG,-0.97,50.0,0.686,-2.73,8,8308.99,3.97,"{""전략매도"": 4, ""손절"": 3, ""동적익절"": 1}"
OGN,-5.89,33.33,0.314,-7.42,21,21102.39,7.21,"{""횡보정리"": 7, ""전략매도"": 3, ""트레일링스탑"": 2, ""동적익절"": 2, ""손절"": 7}"
OXT,1.51,50.0,1.224,-2.49,22,22537.76,7.98,"{""전략매도"": 4, ""손절"": 5, ""동적익절"": 7, ""횡보정리"": 5, ""백테스트종료"": 1}"
PENGU,-5.13,48.0,0.402,-6.75,25,26954.7,8.45,"{""전략매도"": 11, ""손절"": 6, ""동적익절"": 3, ""횡보정리"": 4, ""트레일링스탑"": 1}"
PEPE,1.68,43.75,1.76,-2.33,16,14208.87,11.35,"{""손절"": 2, ""횡보정리"": 7, ""동적익절"": 5, ""전략매도"": 1, ""백테스트종료"": 1}"
POLA,2.26,46.67,1.326,-4.99,15,15889.95,5.51,"{""전략매도"": 2, ""횡보정리"": 1, ""손절"": 5, ""동적익절"": 4, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
PONKE,-0.82,40.0,0.619,-2.29,5,5812.86,7.65,"{""전략매도"": 3, ""손절"": 2}"
RENDER,3.04,75.0,5.946,-0.74,8,7992.98,5.25,"{""동적익절"": 4, ""횡보정리"": 1, ""전략매도"": 3}"
RESOLV,-2.05,46.34,0.892,-12.31,41,44948.73,5.12,"{""전략매도"": 6, ""횡보정리"": 4, ""동적익절"": 12, ""손절"": 17, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
SAHARA,0.81,40.0,1.823,-1.15,5,5437.07,6.2,"{""횡보정리"": 1, ""동적익절"": 1, ""전략매도"": 2, ""백테스트종료"": 1}"
